row_id,study,study_s31,study_s32,name_mismatch,report_group,is_multi_arm,assignment_unit,research_design,publication_status,grade_level,ses,targeted_population,tpd_goal,tpd_duration,tpd_trainer,n_principles,coaching,performance_standards,self_regulation,cooperation,full_citation,doi_url,pdf_status,pdf_path,k_effect_sizes,extraction_status,notes
120,Thiede et al. 2018,Thiede et al. 2018,Thiede et al. 2018,0,thiede et al. 2018,1,School,RCT,Published,Mixed,Not reported,All,Comprehensive approaches,Short,Res/Dev,Two,1,0,1,0,,,todo,,,todo,
121,Thiede et al. 2018,Thiede et al. 2018,Thiede et al. 2018,0,thiede et al. 2018,1,School,RCT,Published,Mixed,Not reported,All,Comprehensive approaches,Short,Res/Dev,Two,1,0,1,0,,,todo,,,todo,
122,Thiede et al. 2018,Thiede et al. 2018,Thiede et al. 2018,0,thiede et al. 2018,1,School,RCT,Published,Mixed,Not reported,All,Comprehensive approaches,Short,Res/Dev,Two,1,0,1,0,,,todo,,,todo,
123,Thurston 2016,Thurston 2016,Thurston 2016,0,thurston 2016,0,School,RCT,Unpublished,Mixed,Low SES,All,Comprehensive approaches,Long,External,Two,1,0,0,1,,,todo,,,todo,
124,Tolan et al. 2020,Tolan et al. 2020,Tolan et al. 2020,0,tolan et al. 2020,0,Teacher/Class,RCT,Published,Mixed,Average/High SES,All,Other,Short,External,Two,1,0,1,0,,,todo,,,todo,
125,Vaughn et al. 2022,Vaughn et al. 2022,Vaughn et al. 2022,0,vaughn et al. 2022,1,School,RCT,Published,3-6,Low SES,Specific,(P)CK,Short,Res/Dev,Three,0,1,1,1,,,todo,,,todo,
126,Vaughn et al. 2022,Vaughn et al. 2022,Vaughn et al. 2022,0,vaughn et al. 2022,1,School,RCT,Published,3-6,Low SES,All,(P)CK,Short,Res/Dev,Three,0,1,1,1,,,todo,,,todo,
127,Vernon-Feagans et al. 2013,Vernon-Feagans et al. 2013,Vernon-Feagans et al. 2013,0,vernon-feagans et al. 2013,0,School,RCT,Published,K-2,Not reported,Specific,(P)CK,Short,Res/Dev,One,1,0,0,0,,,todo,,,todo,
128,Vignoles et al. 2015,Vignoles et al. 2015,Vignoles et al. 2015,0,vignoles et al. 2015,0,Teacher/Class,RCT,Unpublished,K-2,Average/High SES,All,TPD for curricula,Long,Res/Dev,Three,1,1,1,0,,,todo,,,todo,
129,Wakabayashi et al. 2020,Wakabayashi et al. 2020,Wakabayashi et al. 2020,0,wakabayashi et al. 2020,0,School,RCT,Published,Pre-k,Not reported,All,(P)CK,Short,Res/Dev,Three,1,1,1,0,,,todo,,,todo,
130,West et al. 2016,West et al. 2016,West et al. 2016,0,west et al. 2016,0,School,RCT,Unpublished,Mixed,Low SES,All,TPD for digital tools,Long,Res/Dev,Two,0,1,0,1,,,todo,,,todo,
131,Whittaker et al. 2020,Whittaker et al. 2020,Whittaker et al. 2020,0,whittaker et al. 2020,0,Teacher/Class,RCT,Published,Pre-k,Not reported,All,TPD for curricula,Long,Res/Dev,Two,1,0,1,0,,,todo,,,todo,
132,Wiggins et al. 2017,Wiggins et al. 2017,Wiggins et al. 2017,0,wiggins et al. 2017,0,Teacher/Class,RCT,Unpublished,Mixed,Average/High SES,All,TPD for curricula,Short,Res/Dev,One,0,0,1,0,,,todo,,,todo,
133,Wiggins et al. 2019,Wiggins et al. 2019,Wiggins et al. 2019,0,wiggins et al. 2019,0,School,RCT,Unpublished,7-12,Average/High SES,All,(P)CK,Long,External,Two,0,0,1,1,,,todo,,,todo,
134,Wijekumar et al. 2009,Wijekumar et al. 2009,Wijekumar et al. 2009,0,wijekumar et al. 2009,0,School,RCT,Unpublished,3-6,Average/High SES,All,TPD for digital tools,Short,Res/Dev,One,0,1,0,0,,,todo,,,todo,
135,Wijekumar et al. 2017,Wijekumar et al. 2017,Wijekumar et al. 2017,0,wijekumar et al. 2017,0,Teacher/Class,RCT,Published,7-12,Average/High SES,All,TPD for curricula,Short,Res/Dev,One,0,1,0,0,,,todo,,,todo,
136,Wolf et al. 2018,Wolf et al. 2018,Wolf et al. 2018,0,wolf et al. 2018,1,School,RCT,Unpublished,Mixed,Low SES,Specific,TPD for curricula,Short,Res/Dev,Three,1,1,1,0,,,todo,,,todo,
137,Wolf et al. 2018,Wolf et al. 2018,Wolf et al. 2018,0,wolf et al. 2018,1,School,RCT,Unpublished,Mixed,Low SES,Specific,TPD for curricula,Short,Res/Dev,Three,1,1,1,0,,,todo,,,todo,
138,Worth et al. 2015,Worth et al. 2015,Worth et al. 2015,0,worth et al. 2015,1,School,RCT,Unpublished,K-2,Average/High SES,All,TPD for curricula,Short,Res/Dev,One,1,0,0,0,,,todo,,,todo,
139,Worth et al. 2015,Worth et al. 2015,Worth et al. 2015,0,worth et al. 2015,1,School,RCT,Unpublished,K-2,Average/High SES,All,TPD for curricula,Short,Res/Dev,One,1,0,0,0,,,todo,,,todo,
140,Worth et al. 2017,Worth et al. 2017,Worth et al. 2017,0,worth et al. 2017,0,School,RCT,Unpublished,7-12,Average/High SES,All,TPD for digital tools,Long,External,One,0,1,0,0,,,todo,,,todo,
141,Wright et al. 2020,Wright et al. 2020,Wright et al. 2020,0,wright et al. 2020,0,School,RCT,Unpublished,Pre-k,Average/High SES,All,(P)CK,Long,External,Three,1,1,1,0,,,todo,,,todo,
142,Yang et al. 2020,Yang et al. 2020,Yang et al. 2020,0,yang et al. 2020,1,School,RCT,Published,7-12,Low SES,All,(P)CK,Long,Res/Dev,Two,0,0,1,1,"Yang, R., Porter, A. C., Massey, C. M., Merlino, J. F., & Desimone, L. M. (2020). Curriculum-based teacher professional development in middle school science: A comparison of training focused on cognitive science principles versus content knowledge. Journal of Research in Science Teaching, 57(4), 536-566.",https://doi.org/10.1002/tea.21605,paywalled,,,todo,"IDENTIFIED high-conf; content-knowledge-PD arm of 3-arm cluster-RCT (90 schools); ERIC EJ1246516; IES R305C080009; Wiley paywalled, no legal OA"
143,Yang et al. 2020,Yang et al. 2020,Yang et al. 2020,0,yang et al. 2020,1,School,RCT,Published,7-12,Low SES,All,TPD for curricula,Long,Res/Dev,Three,0,1,1,1,"Yang, R., Porter, A. C., Massey, C. M., Merlino, J. F., & Desimone, L. M. (2020). Curriculum-based teacher professional development in middle school science: A comparison of training focused on cognitive science principles versus content knowledge. Journal of Research in Science Teaching, 57(4), 536-566.",https://doi.org/10.1002/tea.21605,paywalled,,,todo,"IDENTIFIED high-conf; cognitive-science-principles curriculum-modification + PD arm of 3-arm cluster-RCT (90 schools); ERIC EJ1246516; IES R305C080009; Wiley paywalled, no legal OA"
