es_id,row_id,report_group,study,outcome_subject,grade_band,g,v,se,n_t,n_c,n_clusters,icc_assumed,cluster_adjusted,pretest_adjusted,extraction_method,source_stat,page_ref,extractor,confidence,notes
F0121,47,herman et al. 2022,Herman et al. 2022,Reading,Mixed,-0.1391,0.022112,0.1487,434,227,68,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0122,47,herman et al. 2022,Herman et al. 2022,STEM,Mixed,-0.144,0.026309,0.1622,603,853,53,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0123,48,hitchcock et al. 2011,Hitchcock et al. 2011,Reading,3-6,-0.1135,0.018879,0.1374,349,522,104,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0124,48,hitchcock et al. 2011,Hitchcock et al. 2011,Reading,3-6,-0.0808,0.007674,0.0876,1175,1297,45,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0125,49,humphrey et al. 2018,Humphrey et al. 2018,Reading,K-2,0.4479,0.028123,0.1677,455,1015,94,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0126,49,humphrey et al. 2018,Humphrey et al. 2018,Other,K-2,0.3331,0.032472,0.1802,88,987,101,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0127,49,humphrey et al. 2018,Humphrey et al. 2018,Reading,K-2,0.4334,0.019099,0.1382,1412,396,56,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0128,50,"jaciw, hegseth et al. 2016","Jaciw, Hegseth et al. 2016",Reading,7-12,0.0342,0.002746,0.0524,318,1140,118,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0129,50,"jaciw, hegseth et al. 2016","Jaciw, Hegseth et al. 2016",Reading,7-12,0.0409,0.008575,0.0926,109,354,25,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0130,50,"jaciw, hegseth et al. 2016","Jaciw, Hegseth et al. 2016",Reading,7-12,-0.0057,0.030137,0.1736,523,428,49,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0131,50,"jaciw, hegseth et al. 2016","Jaciw, Hegseth et al. 2016",Reading,7-12,0.0668,0.033893,0.1841,1193,1016,81,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0132,51,"jaciw, schellinger et al. 2016","Jaciw, Schellinger et al. 2016",STEM,3-6,0.3333,0.046959,0.2167,1129,1082,86,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0133,52,jacob 2017,Jacob 2017,Reading,Mixed,0.0892,0.024775,0.1574,861,1148,36,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0134,53,jacob et al. 2017,Jacob et al. 2017,Other,3-6,0.1253,0.01452,0.1205,91,905,44,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0135,53,jacob et al. 2017,Jacob et al. 2017,Reading,3-6,0.1072,0.031648,0.1779,1066,187,88,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0136,53,jacob et al. 2017,Jacob et al. 2017,Other,3-6,0.0308,0.004251,0.0652,231,1397,63,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0137,54,james-burdumy et al. 2010,James-Burdumy et al. 2010,STEM,3-6,0.1027,0.036519,0.1911,617,1456,44,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0138,54,james-burdumy et al. 2010,James-Burdumy et al. 2010,Reading,3-6,0.0238,0.009643,0.0982,982,910,115,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0139,54,james-burdumy et al. 2010,James-Burdumy et al. 2010,Other,3-6,-0.0146,0.007779,0.0882,1207,1292,102,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0140,55,james-burdumy et al. 2010,James-Burdumy et al. 2010,STEM,3-6,0.0753,0.012746,0.1129,1470,815,29,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0141,55,james-burdumy et al. 2010,James-Burdumy et al. 2010,STEM,3-6,-0.2639,0.046225,0.215,1461,1279,41,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0142,56,james-burdumy et al. 2010,James-Burdumy et al. 2010,Reading,3-6,-0.0628,0.014448,0.1202,1003,1144,66,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0143,56,james-burdumy et al. 2010,James-Burdumy et al. 2010,Reading,3-6,0.0249,0.030485,0.1746,1287,1054,66,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0144,57,jay et al. 2017,Jay et al. 2017,Reading,3-6,-0.1485,0.012814,0.1132,139,1183,118,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0145,57,jay et al. 2017,Jay et al. 2017,STEM,3-6,-0.0522,0.002862,0.0535,244,970,20,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0146,57,jay et al. 2017,Jay et al. 2017,Reading,3-6,0.0736,0.042932,0.2072,352,252,115,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0147,57,jay et al. 2017,Jay et al. 2017,Reading,3-6,-0.0348,0.026765,0.1636,789,1026,109,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0148,58,jerrim et al. 2015,Jerrim et al. 2015,Other,3-6,0.2907,0.041128,0.2028,1102,1309,112,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0149,58,jerrim et al. 2015,Jerrim et al. 2015,STEM,3-6,-0.0628,0.00472,0.0687,685,1273,118,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0150,58,jerrim et al. 2015,Jerrim et al. 2015,Reading,3-6,-0.1444,0.0101,0.1005,1222,82,59,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0151,58,jerrim et al. 2015,Jerrim et al. 2015,Reading,3-6,-0.0943,0.041209,0.203,532,682,66,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0152,59,kitmitto et al. 2018,Kitmitto et al. 2018,Reading,3-6,0.1642,0.020335,0.1426,533,455,33,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0153,60,konstantopoulos et al. 2013,Konstantopoulos et al. 2013,STEM,3-6,0.0252,0.008949,0.0946,104,1091,31,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0154,61,konstantopoulos et al. 2016,Konstantopoulos et al. 2016,Other,3-6,-0.1315,0.047524,0.218,892,568,36,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0155,61,konstantopoulos et al. 2016,Konstantopoulos et al. 2016,Reading,3-6,-0.0919,0.016435,0.1282,1350,139,23,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0156,62,konstantopoulos et al. 2016,Konstantopoulos et al. 2016,STEM,K-2,0.1448,0.013526,0.1163,1382,1075,81,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0157,62,konstantopoulos et al. 2016,Konstantopoulos et al. 2016,STEM,K-2,-0.1697,0.029412,0.1715,290,157,95,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0158,62,konstantopoulos et al. 2016,Konstantopoulos et al. 2016,Reading,K-2,0.1025,0.007569,0.087,248,403,45,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0159,62,konstantopoulos et al. 2016,Konstantopoulos et al. 2016,Reading,K-2,0.0351,0.012056,0.1098,1208,289,71,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0160,63,kutaka et al. 2017,Kutaka et al. 2017,Reading,K-2,-0.1705,0.019072,0.1381,583,270,92,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0161,64,landry et al. 2014,Landry et al. 2014,Reading,Pre-k,0.2268,0.006416,0.0801,1313,727,82,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0162,64,landry et al. 2014,Landry et al. 2014,Reading,Pre-k,0.3337,0.010878,0.1043,964,690,73,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0163,64,landry et al. 2014,Landry et al. 2014,Reading,Pre-k,0.1242,0.003158,0.0562,1109,1478,100,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0164,64,landry et al. 2014,Landry et al. 2014,Reading,Pre-k,0.2765,0.038652,0.1966,83,375,60,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0165,65,landry et al. 2017,Landry et al. 2017,Reading,Pre-k,0.0819,0.00377,0.0614,965,980,74,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0166,65,landry et al. 2017,Landry et al. 2017,Reading,Pre-k,0.2614,0.03316,0.1821,1046,964,118,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0167,65,landry et al. 2017,Landry et al. 2017,Reading,Pre-k,0.0389,0.029173,0.1708,751,1134,26,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0168,65,landry et al. 2017,Landry et al. 2017,Other,Pre-k,0.0293,0.003295,0.0574,758,1122,113,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0169,66,landry et al. 2021,Landry et al. 2021,Reading,Pre-k,0.0781,0.023226,0.1524,1077,675,104,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0170,66,landry et al. 2021,Landry et al. 2021,STEM,Pre-k,0.0811,0.00996,0.0998,1013,769,68,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0171,67,lang et al. 2009,Lang et al. 2009,Reading,7-12,0.2068,0.020736,0.144,1083,295,40,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0172,67,lang et al. 2009,Lang et al. 2009,Reading,7-12,0.1733,0.011642,0.1079,708,635,98,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0173,67,lang et al. 2009,Lang et al. 2009,Reading,7-12,0.1641,0.044394,0.2107,657,685,36,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0174,67,lang et al. 2009,Lang et al. 2009,Reading,7-12,0.0159,0.042973,0.2073,759,542,55,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0175,68,lang et al. 2009,Lang et al. 2009,STEM,7-12,0.0065,0.032472,0.1802,979,1341,44,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0176,68,lang et al. 2009,Lang et al. 2009,STEM,7-12,-0.0045,0.016078,0.1268,1072,1333,57,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0177,68,lang et al. 2009,Lang et al. 2009,Reading,7-12,-0.0247,0.037947,0.1948,1156,192,35,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0178,69,lang et al. 2009,Lang et al. 2009,Reading,7-12,0.0691,0.043306,0.2081,116,1177,70,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0179,69,lang et al. 2009,Lang et al. 2009,Reading,7-12,-0.0074,0.011751,0.1084,1242,195,101,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0180,70,lesaux et al. 2014,Lesaux et al. 2014,STEM,3-6,0.0655,0.039442,0.1986,751,1283,106,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0181,70,lesaux et al. 2014,Lesaux et al. 2014,Reading,3-6,-0.2315,0.021727,0.1474,488,846,74,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0182,70,lesaux et al. 2014,Lesaux et al. 2014,Reading,3-6,-0.2597,0.02605,0.1614,1054,429,48,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0183,71,lewis presser et al. 2015,Lewis Presser et al. 2015,STEM,prek,0.2609,0.01428,0.1195,402,447,29,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0184,71,lewis presser et al. 2015,Lewis Presser et al. 2015,Reading,prek,0.281,0.007815,0.0884,1189,1202,113,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0185,72,little et al. 2014,Little et al. 2014,STEM,Mixed,0.657,0.035269,0.1878,539,449,77,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0186,72,little et al. 2014,Little et al. 2014,Reading,Mixed,0.2947,0.038967,0.1974,1439,1314,110,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0187,72,little et al. 2014,Little et al. 2014,Reading,Mixed,0.1876,0.004914,0.0701,883,906,52,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0188,73,llosa et al. 2016,Llosa et al. 2016,Reading,3-6,-0.0701,0.03045,0.1745,927,499,29,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0189,73,llosa et al. 2016,Llosa et al. 2016,Reading,3-6,0.2034,0.003758,0.0613,646,1233,66,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0190,73,llosa et al. 2016,Llosa et al. 2016,STEM,3-6,-0.0609,0.030906,0.1758,891,548,101,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0191,73,llosa et al. 2016,Llosa et al. 2016,Reading,3-6,-0.179,0.036557,0.1912,558,1222,66,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0192,74,ludwig&song 2015,Ludwig & Song 2015,Reading,Pre-k,0.0156,0.020765,0.1441,1134,419,87,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0193,74,ludwig&song 2015,Ludwig & Song 2015,Reading,Pre-k,0.0932,0.046182,0.2149,273,361,68,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0194,74,ludwig&song 2015,Ludwig & Song 2015,Reading,Pre-k,-0.0329,0.042312,0.2057,387,1421,74,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0195,74,ludwig&song 2015,Ludwig & Song 2015,Other,Pre-k,-0.0177,0.004147,0.0644,1138,1202,91,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0196,75,mattera et al. 2018,Mattera et al. 2018,Reading,Pre-k,0.0353,0.032906,0.1814,1412,527,66,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0197,75,mattera et al. 2018,Mattera et al. 2018,Reading,Pre-k,-0.0269,0.003994,0.0632,1496,1082,42,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0198,75,mattera et al. 2018,Mattera et al. 2018,STEM,Pre-k,-0.0375,0.011837,0.1088,807,780,40,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0199,76,mattera et al. 2018,Mattera et al. 2018,STEM,Pre-k,-0.0061,0.027956,0.1672,669,888,31,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0200,76,mattera et al. 2018,Mattera et al. 2018,Reading,Pre-k,-0.1061,0.002981,0.0546,949,284,105,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0201,76,mattera et al. 2018,Mattera et al. 2018,Reading,Pre-k,-0.0111,0.02088,0.1445,893,1092,36,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0202,77,may et al. 2016,May et al. 2016,Other,K-2,0.0603,0.0075,0.0866,387,1039,115,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0203,77,may et al. 2016,May et al. 2016,STEM,K-2,-0.0325,0.007482,0.0865,534,278,115,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0204,78,meyers et al. 2016,Meyers et al. 2016,Reading,7-12,0.0532,0.024712,0.1572,128,926,119,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0205,78,meyers et al. 2016,Meyers et al. 2016,Reading,7-12,0.328,0.023808,0.1543,1119,898,80,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0206,79,miller et al. 2017,Miller et al. 2017,Reading,K-2,0.1017,0.043723,0.2091,972,1129,26,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0207,79,miller et al. 2017,Miller et al. 2017,STEM,K-2,-0.0593,0.014957,0.1223,471,285,99,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0208,80,motteram et al. 2016,Motteram et al. 2016,Reading,3-6,0.5963,0.045029,0.2122,1073,118,84,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0209,81,murphy et al. 2020,Murphy et al. 2020,Reading,7-12,0.1678,0.014304,0.1196,1478,684,50,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0210,81,murphy et al. 2020,Murphy et al. 2020,STEM,7-12,-0.4174,0.038142,0.1953,109,772,39,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0211,81,murphy et al. 2020,Murphy et al. 2020,Other,7-12,0.1628,0.006906,0.0831,917,213,89,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0212,82,murphy et al. 2021,Murphy et al. 2021,Reading,3-6,0.0044,0.033452,0.1829,389,1453,41,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0213,82,murphy et al. 2021,Murphy et al. 2021,Reading,3-6,-0.0058,0.008028,0.0896,969,594,60,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0214,82,murphy et al. 2021,Murphy et al. 2021,Reading,3-6,0.0755,0.034932,0.1869,142,1316,93,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0215,82,murphy et al. 2021,Murphy et al. 2021,STEM,3-6,0.0536,0.017503,0.1323,927,268,90,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0216,83,newman et al. 2012,Newman et al. 2012,STEM,Mixed,0.4271,0.013689,0.117,1087,106,69,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0217,84,nugent et al. 2016,Nugent et al. 2016,Reading,7-12,0.0959,0.005055,0.0711,927,454,82,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0218,85,o'hare et al. 2019,O'Hare et al. 2019,Reading,K-2,-0.3158,0.024586,0.1568,245,884,35,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0219,85,o'hare et al. 2019,O'Hare et al. 2019,Reading,K-2,0.0438,0.007006,0.0837,497,398,52,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0220,85,o'hare et al. 2019,O'Hare et al. 2019,Reading,K-2,-0.1499,0.003136,0.056,706,473,22,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0221,85,o'hare et al. 2019,O'Hare et al. 2019,Reading,K-2,0.1172,0.016461,0.1283,942,780,43,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0222,86,olson et al. 2012,Olson et al. 2012,Reading,7-12,0.3511,0.028696,0.1694,941,1013,53,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0223,87,olson et al. 2017,Olson et al. 2017,STEM,7-12,0.1417,0.002601,0.051,908,167,30,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0224,87,olson et al. 2017,Olson et al. 2017,Reading,7-12,-0.1353,0.038259,0.1956,723,72,99,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0225,88,olson et al. 2020,Olson et al. 2020,Reading,7-12,0.119,0.00252,0.0502,291,247,53,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0226,88,olson et al. 2020,Olson et al. 2020,Reading,7-12,0.1565,0.033636,0.1834,1400,481,55,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0227,88,olson et al. 2020,Olson et al. 2020,Reading,7-12,0.4966,0.043306,0.2081,1351,1136,82,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0228,88,olson et al. 2020,Olson et al. 2020,STEM,7-12,0.0224,0.01002,0.1001,788,1352,56,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0229,89,pcer (2008),PCER (2008),Reading,Pre-k,0.277,0.011513,0.1073,357,708,49,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0230,90,portes et al. 2018,Portes et al. 2018,Reading,3-6,-0.2031,0.035759,0.1891,1432,1048,94,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0231,90,portes et al. 2018,Portes et al. 2018,Reading,3-6,0.2711,0.017135,0.1309,997,1408,71,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0232,91,powell et al. 2010,Powell et al. 2010,STEM,Pre-k,0.2928,0.040562,0.2014,793,901,49,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0233,92,prast et al. 2018,Prast et al. 2018,STEM,Mixed,0.0599,0.044394,0.2107,1461,1298,20,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0234,92,prast et al. 2018,Prast et al. 2018,Reading,Mixed,0.0152,0.01565,0.1251,497,683,75,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0235,93,quint et al. 2015,Quint et al. 2015,Reading,3-6,-0.1205,0.014617,0.1209,1161,1417,59,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0236,94,randel et al. 2016,Randel et al. 2016,Reading,3-6,-0.3564,0.031755,0.1782,728,581,81,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0237,94,randel et al. 2016,Randel et al. 2016,Reading,3-6,-0.1448,0.010241,0.1012,638,1254,24,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0238,94,randel et al. 2016,Randel et al. 2016,STEM,3-6,-0.0618,0.031329,0.177,558,1246,108,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0239,95,reid et al. 2014,Reid et al. 2014,Other,K-2,0.2479,0.042518,0.2062,487,189,82,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0240,96,reinke et al. 2018,Reinke et al. 2018,Other,Mixed,-0.3625,0.036902,0.1921,939,821,62,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
